"university","fall_year","TA_premaster","TA_candidate","GSR_premaster","GSR_candidate","postdoc","min_annual_100FTE","min_annual_50FTE","avg_annual_100FTE","avg_annual_50FTE","hourly_rate","postdoc_annual","gsr_premaster_annual_100FTE","gsr_candidate_annual_100FTE","ta_premaster_annual_100FTE","ta_candidate_annual_100FTE","gsr_premaster_annual_50FTE","gsr_candidate_annual_50FTE","ta_premaster_annual_50FTE","ta_candidate_annual_50FTE"
"University of California, Davis",2021,5156.89,5156.89,4383.67,5049.92,4545,57243.36,28621.68,59242.11,29621.055,28.4817836538462,54540,52604.04,60599.04,61882.68,61882.68,26302.02,30299.52,30941.34,30941.34
"University of Washington",2022,5172,5972,5172,5972,4167,62064,31032,66864,33432,32.1461538461538,50004,62064,71664,62064,71664,31032,35832,31032,35832
"University of Florida",2022,NA,NA,3792.30833333333,NA,3956.33333333333,45507.7,22753.85,45507.7,22753.85,21.8787019230769,47476,45507.7,NA,NA,NA,22753.85,NA,NA,NA
"University of Michigan",2022,6013.75,6013.75,6013.75,6013.75,NA,72165,36082.5,72165,36082.5,34.6947115384615,NA,72165,72165,72165,72165,36082.5,36082.5,36082.5,36082.5
"University of Georgia",2022,4633.33333333333,5008.33333333333,4633.33333333333,5008.33333333333,3956.33333333333,55600,27800,57850,28925,27.8125,47476,55600,60100,55600,60100,27800,30050,27800,30050
"University of Indiana",2022,NA,NA,4888.88888888889,NA,NA,58666.6666666667,29333.3333333333,58666.6666666667,29333.3333333333,28.2051282051282,NA,58666.6666666667,NA,NA,NA,29333.3333333333,NA,NA,NA
"Arizona State University",2022,NA,NA,4862,NA,3956.33333333333,58344,29172,58344,29172,28.05,47476,58344,NA,NA,NA,29172,NA,NA,NA
